City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Te Anau,NZ,2022-03-09 23:51:46,-45.4167,167.7167,70.05,52,97,1.88
92,Taoudenni,ML,2022-03-09 23:52:47,22.6783,-3.9836,70.74,15,74,13.35
93,Dikson,RU,2022-03-09 23:52:48,73.5069,80.5464,-26.63,100,99,3.96
94,Saint-Philippe,RE,2022-03-09 23:52:48,-21.3585,55.7679,76.84,86,9,7.54
95,Houma,US,2022-03-09 23:52:49,29.5958,-90.7195,54.0,91,99,4.0
96,Coquimbo,CL,2022-03-09 23:52:49,-29.9533,-71.3436,65.93,72,0,11.5
97,Castro,BR,2022-03-09 23:52:50,-24.7911,-50.0119,67.42,91,99,3.98
98,Cabo San Lucas,MX,2022-03-09 23:52:50,22.8909,-109.9124,73.62,52,74,4.0
99,Avarua,CK,2022-03-09 23:50:14,-21.2078,-159.775,78.85,94,75,11.5
100,Riachao,BR,2022-03-09 23:52:51,-7.3619,-46.6172,73.15,89,100,2.06
101,Pangnirtung,CA,2022-03-09 23:52:51,66.1451,-65.7125,-11.2,77,20,0.0
102,Carnarvon,AU,2022-03-09 23:52:52,-24.8667,113.6333,78.87,78,0,8.05
103,Tasiilaq,GL,2022-03-09 23:52:52,65.6145,-37.6368,23.27,91,100,33.62
104,Ginir,ET,2022-03-09 23:52:53,7.1333,40.7,59.94,50,67,3.53
105,Melendugno,IT,2022-03-09 23:52:53,40.2747,18.3368,47.86,61,40,9.22
106,Mabaruma,GY,2022-03-09 23:52:54,8.2,-59.7833,73.87,94,100,3.09
107,Provideniya,RU,2022-03-09 23:52:54,64.3833,-173.3,26.71,59,0,26.84
108,Kisaran,ID,2022-03-09 23:52:54,2.9845,99.6158,71.6,99,100,2.68
109,Meadow Lake,US,2022-03-09 23:52:55,34.8014,-106.5436,56.68,17,59,21.14
110,Overyata,RU,2022-03-09 23:52:55,58.0868,55.8709,-14.67,97,35,3.69
111,Saint Petersburg,RU,2022-03-09 23:48:11,59.8944,30.2642,8.74,66,0,0.0
112,Korla,CN,2022-03-09 23:52:56,41.7597,86.1469,45.88,36,85,7.11
113,Veraval,IN,2022-03-09 23:52:56,20.9,70.3667,76.46,42,1,10.49
114,Qaanaaq,GL,2022-03-09 23:52:57,77.484,-69.3632,-6.32,56,0,8.43
115,Olinda,BR,2022-03-09 23:52:57,-8.0089,-34.8553,83.93,74,40,9.22
116,Luderitz,NA,2022-03-09 23:52:57,-26.6481,15.1594,68.47,78,0,13.35
117,Shirokiy,RU,2022-03-09 23:52:58,49.758,129.523,25.93,89,43,13.24
118,Saskylakh,RU,2022-03-09 23:52:58,71.9167,114.0833,-31.68,100,73,3.2
119,Michigan City,US,2022-03-09 23:50:10,41.7075,-86.895,39.7,69,0,4.61
120,Balabac,PH,2022-03-09 23:52:59,7.9868,117.0645,77.11,88,100,6.06
121,Taybad,IR,2022-03-09 23:52:59,34.74,60.7756,56.98,58,78,3.56
122,Longyearbyen,SJ,2022-03-09 23:53:00,78.2186,15.6401,28.24,93,75,3.44
123,Cidreira,BR,2022-03-09 23:53:00,-30.1811,-50.2056,76.93,88,83,15.01
124,Atyrau,KZ,2022-03-09 23:49:07,47.1167,51.8833,39.22,81,75,13.42
125,Murray Bridge,AU,2022-03-09 23:53:01,-35.1167,139.2667,68.68,46,51,9.28
126,Fergus Falls,US,2022-03-09 23:51:06,46.283,-96.0776,13.98,71,75,13.8
127,Banjar,ID,2022-03-09 23:53:02,-8.19,114.9675,82.26,86,100,2.33
128,Sunbury,AU,2022-03-09 23:53:02,-37.5833,144.7333,65.62,55,20,14.97
129,Porto Novo,BJ,2022-03-09 23:53:03,6.4965,2.6036,84.02,83,54,9.64
130,Kenai,US,2022-03-09 23:53:03,60.5544,-151.2583,38.03,92,100,0.0
131,Olafsvik,IS,2022-03-09 23:53:03,64.8945,-23.7142,34.34,66,93,17.11
132,Vila Velha,BR,2022-03-09 23:52:41,-20.3297,-40.2925,78.75,83,0,6.91
133,Tarko-Sale,RU,2022-03-09 23:53:04,64.9225,77.785,-13.76,98,68,13.6
134,Parkes,AU,2022-03-09 23:53:04,-33.1333,148.1833,73.6,48,0,1.97
135,Ilhabela,BR,2022-03-09 23:53:05,-23.7781,-45.3581,76.86,89,24,7.4
136,Pevek,RU,2022-03-09 23:53:05,69.7008,170.3133,17.2,75,78,10.54
137,Saint Anthony,US,2022-03-09 23:53:06,45.0205,-93.218,16.93,51,100,5.01
138,Igrim,RU,2022-03-09 23:54:06,63.1906,64.4162,-25.85,100,76,2.17
139,Salalah,OM,2022-03-09 23:54:07,17.0151,54.0924,70.68,64,12,0.96
140,Yulin,CN,2022-03-09 23:54:07,22.6333,110.15,63.63,82,13,2.64
141,Ferme-Neuve,CA,2022-03-09 23:54:07,46.7001,-75.4493,31.78,92,100,7.58
142,Makakilo City,US,2022-03-09 23:54:08,21.3469,-158.0858,83.95,57,20,4.61
143,General Roca,AR,2022-03-09 23:54:08,-39.0333,-67.5833,70.2,18,2,6.85
144,Hervey Bay,AU,2022-03-09 23:49:37,-25.2986,152.8535,84.04,77,14,15.1
145,Yulara,AU,2022-03-09 23:54:09,-25.2406,130.9889,73.24,33,0,10.36
146,Ancud,CL,2022-03-09 23:54:09,-41.8697,-73.8203,56.73,75,72,8.21
147,Ribeira Grande,PT,2022-03-09 23:54:10,38.5167,-28.7,62.4,86,100,29.3
148,Galeana,MX,2022-03-09 23:54:10,24.8333,-100.0667,74.32,25,0,3.85
149,Oxapampa,PE,2022-03-09 23:54:11,-10.5775,-75.4017,59.45,98,100,2.42
150,Vao,NC,2022-03-09 23:54:11,-22.6667,167.4833,78.89,77,4,9.37
151,Griffith,US,2022-03-09 23:54:12,41.5284,-87.4237,39.06,60,0,8.05
152,Torbay,CA,2022-03-09 23:54:12,47.6666,-52.7314,29.57,67,40,19.57
153,Iqaluit,CA,2022-03-09 23:54:12,63.7506,-68.5145,-13.27,77,100,2.3
154,Cabedelo,BR,2022-03-09 23:52:00,-6.9811,-34.8339,81.27,78,93,13.38
155,Kirakira,SB,2022-03-09 23:54:13,-10.4544,161.9205,85.1,69,94,5.55
156,Dakar,SN,2022-03-09 23:50:41,14.6937,-17.4441,65.28,94,0,6.91
157,Pisco,PE,2022-03-09 23:54:14,-13.7,-76.2167,73.45,73,0,19.57
158,Barguzin,RU,2022-03-09 23:54:14,53.6167,109.6167,4.3,83,11,5.48
159,Mahebourg,MU,2022-03-09 23:54:15,-20.4081,57.7,77.29,94,40,2.3
160,Rosita,NI,2022-03-09 23:54:15,13.9268,-84.4032,77.67,71,50,4.21
161,Saint-Pierre,RE,2022-03-09 23:54:16,-21.3393,55.4781,76.91,85,0,4.61
162,Ixtapa,MX,2022-03-09 23:54:16,20.7,-105.2,73.22,69,28,5.99
163,Neftcala,AZ,2022-03-09 23:54:17,39.3742,49.2472,46.17,84,83,14.16
